# Server version 0.08 running on XT-PeeCee:8123
# Game ID: 204
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Apr 05 23:39:08 EDT 2016
# Player 1: Player-0, 'MK7NoRandom', running on XT-PeeCee
# Player 2: Player-1, 'Human', running on XT-PeeCee
START Player-0 MK7NoRandom
START Player-1 Human
PIT 0 6
PIT 1 21
PIT 0 15
PIT 1 16
PIT 0 9
PIT 1 18
PIT 0 4
PIT 1 21
PIT 0 27
PIT 1 22
PIT 0 15
PIT 1 23
PIT 0 1
PIT 1 24
PIT 0 12
PIT 1 26
PIT 0 13
PIT 1 30
PIT 0 16
PIT 1 15
PIT 0 31
PIT 1 13
PIT 0 18
PIT 1 10
PIT 0 3
PIT 1 8
PIT 0 7
GAMEOVER WINNER 0
# Game ended: Tue Apr 05 23:42:13 EDT 2016
